carimbo,container,cpu_pct,mem_uso,mem_pct
16:04:47,prontudigital-backend,0.43%,530.4MiB / 1GiB,51.79%
16:04:47,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:04:53,prontudigital-backend,0.19%,530.4MiB / 1GiB,51.79%
16:04:53,prontudigital-db,0.02%,138MiB / 512MiB,26.94%
16:05:01,prontudigital-backend,0.20%,530.4MiB / 1GiB,51.79%
16:05:01,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:05:08,prontudigital-backend,0.52%,530.4MiB / 1GiB,51.80%
16:05:08,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:05:16,prontudigital-backend,0.37%,530.4MiB / 1GiB,51.79%
16:05:16,prontudigital-db,0.00%,138MiB / 512MiB,26.95%
16:05:24,prontudigital-backend,0.36%,530.3MiB / 1GiB,51.79%
16:05:24,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:05:32,prontudigital-backend,0.24%,530.3MiB / 1GiB,51.79%
16:05:32,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:05:38,prontudigital-backend,0.31%,530.3MiB / 1GiB,51.79%
16:05:38,prontudigital-db,0.03%,137.9MiB / 512MiB,26.94%
16:05:46,prontudigital-backend,0.26%,530.3MiB / 1GiB,51.79%
16:05:46,prontudigital-db,0.01%,137.9MiB / 512MiB,26.94%
16:05:54,prontudigital-backend,0.24%,530.3MiB / 1GiB,51.79%
16:05:54,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:06:02,prontudigital-backend,0.31%,530.3MiB / 1GiB,51.79%
16:06:02,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:06:10,prontudigital-backend,0.34%,530.4MiB / 1GiB,51.80%
16:06:10,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:06:17,prontudigital-backend,0.15%,530.4MiB / 1GiB,51.80%
16:06:17,prontudigital-db,0.01%,137.9MiB / 512MiB,26.93%
16:06:25,prontudigital-backend,0.24%,530.4MiB / 1GiB,51.80%
16:06:25,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:06:32,prontudigital-backend,0.14%,530.4MiB / 1GiB,51.80%
16:06:32,prontudigital-db,3.26%,138.1MiB / 512MiB,26.97%
16:06:40,prontudigital-backend,0.15%,530.4MiB / 1GiB,51.80%
16:06:40,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:06:48,prontudigital-backend,0.25%,530.4MiB / 1GiB,51.80%
16:06:48,prontudigital-db,0.03%,137.9MiB / 512MiB,26.94%
16:06:55,prontudigital-backend,0.16%,530.4MiB / 1GiB,51.80%
16:06:55,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:07:03,prontudigital-backend,0.28%,530.4MiB / 1GiB,51.80%
16:07:03,prontudigital-db,9.29%,138MiB / 512MiB,26.95%
16:07:11,prontudigital-backend,0.23%,530.4MiB / 1GiB,51.80%
16:07:11,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:07:18,prontudigital-backend,0.21%,530.4MiB / 1GiB,51.80%
16:07:18,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:07:26,prontudigital-backend,0.41%,530.4MiB / 1GiB,51.80%
16:07:26,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:07:33,prontudigital-backend,0.22%,530.4MiB / 1GiB,51.80%
16:07:33,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:07:40,prontudigital-backend,0.31%,530.4MiB / 1GiB,51.80%
16:07:40,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:07:48,prontudigital-backend,0.24%,530.4MiB / 1GiB,51.80%
16:07:48,prontudigital-db,3.00%,137.9MiB / 512MiB,26.94%
16:07:56,prontudigital-backend,0.14%,530.4MiB / 1GiB,51.80%
16:07:56,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:08:04,prontudigital-backend,0.20%,530.4MiB / 1GiB,51.80%
16:08:04,prontudigital-db,0.00%,137.9MiB / 512MiB,26.93%
16:08:11,prontudigital-backend,0.24%,530.4MiB / 1GiB,51.80%
16:08:11,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:08:19,prontudigital-backend,0.26%,530.4MiB / 1GiB,51.80%
16:08:19,prontudigital-db,0.00%,138.1MiB / 512MiB,26.97%
16:08:27,prontudigital-backend,0.28%,530.4MiB / 1GiB,51.80%
16:08:27,prontudigital-db,0.00%,137.9MiB / 512MiB,26.94%
16:08:35,prontudigital-backend,0.40%,530.4MiB / 1GiB,51.80%
